rank,sales,zip,lat,lon,city,state
82,27714.07,35209,33.468306,-86.80814,Birmingham,AL
83,27678.545,29687,34.935636,-82.32238,Taylors,SC
84,27612.8325,28403,34.221512,-77.88452,Wilmington,NC
85,27581.847,16146,41.230106,-80.49896,Sharon,PA
86,27384.0465,57701,44.085288,-103.21335,Rapid City,SD
87,27182.7,47374,39.831061,-84.89067,Richmond,IN
88,27112.7375,43026,40.021665,-83.14762,Hilliard,OH
89,26878.7505,36608,30.69044,-88.19701,Mobile,AL
90,26709.91,55106,44.967565,-93.05001,Saint Paul,MN
91,26650.9405,45324,39.808909,-84.01972,Fairborn,OH
92,26649.05,1075,42.234891,-72.58243,South Hadley,MA
93,26610.352,30269,33.398992,-84.57062,Peachtree City,GA
94,26600.067,86442,35.097719,-114.59734,Bullhead City,AZ
95,26536.9585,75109,32.03049,-96.383005,Angus,TX
96,26190.6,54901,44.043984,-88.53528,Oshkosh,WI
97,26032.0395,4073,43.426792,-70.75245,Sanford,ME
98,26022.4355,93727,36.753177,-119.69703,Fresno,CA
99,26008.37,98006,47.562975,-122.1526,Bellevue,WA
100,25836.0415,77036,29.70053,-95.53514,Houston,TX
101,25776.403,95051,37.346241,-121.9846,Santa Clara,CA
102,25707.3835,83843,46.727636,-116.98067,Moscow,ID
103,25706.0705,92592,33.495343,-117.07657,Temecula,CA
104,25550.7395,84074,40.560528,-112.29455,Tooele,UT
105,25457.64,37130,35.860152,-86.3648,Murfreesboro,TN
106,25361.466,46404,41.588636,-87.37271,Gary,IN
107,25312,1701,42.318695,-71.42344,Framingham,MA
108,25280.91,21061,39.164158,-76.6306,Glen Burnie,MD
109,25203.5225,14901,42.091924,-76.79217,Elmira,NY
110,25152.72,75150,32.818392,-96.63355,Mesquite,TX
111,25122.2,60544,41.607624,-88.19736,Plainfield,IL
112,24830.399,78660,30.450122,-97.623,Pflugerville,TX
113,24771.31,98198,47.397521,-122.315,Seattle,WA
114,24755.03,21146,39.079059,-76.55784,Severna Park,MD
115,24691.0335,83854,47.720306,-116.94564,Post Falls,ID
116,24585.56,60477,41.5738,-87.80389,Tinley Park,IL
117,24541.147,14304,43.091106,-78.96249,Niagara Falls,NY
118,24537.851,4101,43.660525,-70.25862,Portland,ME
119,24499.369,21222,39.263162,-76.5082,Dundalk,MD
120,24495.415,87105,35.031329,-106.68695,Albuquerque,NM
121,24486.33,83701,43.603768,-116.272921,Boise,ID
122,24473.33,73071,35.225702,-97.42394,Norman,OK
123,24442.45,37922,35.875925,-84.12608,Knoxville,TN
124,24415.9465,55113,45.011215,-93.15536,Saint Paul,MN
125,24301.7545,97030,45.507752,-122.4323,Gresham,OR
126,24263.23,62901,37.707763,-89.19246,Carbondale,IL
127,24239.62,85364,32.704499,-114.64644,Yuma,AZ
128,24181.409,48195,42.205289,-83.19812,Southgate,MI
129,24080.486,68046,41.151899,-96.04484,Papillion,NE
130,24006.509,17112,40.343261,-76.7808,Harrisburg,PA
131,23992.96,60091,42.077178,-87.72373,Wilmette,IL
132,23903.7685,4092,43.682148,-70.35823,Westbrook,ME
133,23782.1035,84106,40.706246,-111.85657,Salt Lake City,UT
134,23670.22,5201,42.882231,-73.17873,Bennington,VT
135,23512.49,88310,32.839921,-105.97561,Alamogordo,NM
136,23507.46,43081,40.109513,-82.91606,Westerville,OH
137,23467.8895,44515,41.099008,-80.74545,Youngstown,OH
138,23422.2565,83301,42.530288,-114.47509,Twin Falls,ID
139,23413.35,18705,41.268231,-75.84569,Wilkes Barre,PA
140,23410.75,60014,42.226623,-88.33066,Crystal Lake,IL
141,23320.06,48841,43.104499,-84.23568,Henderson,MI
142,23184.5105,30240,33.029838,-85.0745,Lagrange,GA
143,23134.1545,60123,42.034776,-88.32393,Elgin,IL
144,23133.9025,47906,40.461012,-86.93664,West Lafayette,IN
145,23131.566,83616,43.705551,-116.36346,Eagle,ID
146,22985.4595,47591,38.668827,-87.50791,Vincennes,IN
147,22968.24,47130,38.309105,-85.72035,Jeffersonville,IN
148,22929.8265,65109,38.568287,-92.25329,Jefferson City,MO
149,22922.79,31401,32.068658,-81.09258,Savannah,GA
150,22914.72,30318,33.786805,-84.437,Atlanta,GA
151,22717.39,92399,34.033564,-117.03776,Yucaipa,CA
152,22685.15,55429,45.064714,-93.34155,Minneapolis,MN
153,22506.1055,44118,41.499202,-81.55434,Cleveland,OH
154,22384.13,33445,26.459571,-80.10582,Delray Beach,FL
155,22344.9215,70458,30.269565,-89.77587,Slidell,LA
156,22282.8875,87401,36.625357,-108.19225,Farmington,NM
157,22224.5395,55126,45.085643,-93.1353,Saint Paul,MN
158,22147.1275,83605,43.658834,-116.67755,Caldwell,ID
159,22128.96,94559,38.291164,-122.28671,Napa,CA
160,22112.8445,85254,33.617504,-111.95416,Scottsdale,AZ
161,21888.566,61107,42.280019,-89.03347,Rockford,IL
162,21870.6705,30605,33.925085,-83.34529,Athens,GA
163,21862.1585,50401,43.153969,-93.20037,Mason City,IA
164,21860.7275,86401,35.25925,-113.95225,Kingman,AZ
165,21796.39,15228,40.372802,-80.0448,Pittsburgh,PA
166,21746.1525,47905,40.41836,-86.81847,Lafayette,IN
167,21737.08,72116,34.799541,-92.24764,North Little Rock,AR
168,21707.7115,40258,38.141719,-85.86375,Louisville,KY
169,21598.763,60110,42.121188,-88.27227,Carpentersville,IL
170,21592.31,90022,34.023662,-118.15581,Los Angeles,CA
171,21504.018,92345,34.399992,-117.33999,Hesperia,CA
172,21399.95,63122,38.582702,-90.40966,Saint Louis,MO
173,21353.219,14150,43.001907,-78.8631,Tonawanda,NY
174,21339.699,20601,38.634306,-76.86008,Waldorf,MD
175,21084.3,32839,28.489758,-81.40625,Orlando,FL
176,21018.2225,48066,42.503285,-82.93851,Roseville,MI
177,21015.903,32789,28.598677,-81.35594,Winter Park,FL
178,20843.233,31313,31.828575,-81.61617,Hinesville,GA
179,20737.6725,8401,39.364966,-74.43903,Atlantic City,NJ
180,20692.224,27288,36.505996,-79.74935,Eden,NC
181,20633.77,33430,26.685125,-80.66279,Belle Glade,FL
182,20591.667,55901,44.048931,-92.49459,Rochester,MN
183,20568.82,48093,42.514885,-82.99768,Warren,MI
184,20549.4855,34741,28.301788,-81.42159,Kissimmee,FL
185,20519.18,53711,43.036696,-89.44499,Madison,WI
186,20458.33,95928,39.720955,-121.81888,Chico,CA
187,20337.743,96003,40.641389,-122.34206,Redding,CA
188,20308.94,60188,41.918578,-88.13688,Carol Stream,IL
189,20247.302,68128,41.183458,-96.05318,La Vista,NE
190,20236.305,55372,44.704646,-93.42139,Prior Lake,MN
191,20217.589,60061,42.229856,-87.96779,Vernon Hills,IL
192,20187.7915,81503,39.059221,-108.58311,Grand Junction,CO
193,20156.49,64118,39.213082,-94.57248,Kansas City,MO
194,20127.8125,48342,42.644581,-83.28211,Pontiac,MI
195,20126.52,53213,43.049012,-88.00012,Milwaukee,WI
196,19963.88,76248,32.92704,-97.2506,Keller,TX
197,19935.49,14609,43.175113,-77.56272,Rochester,NY
198,19923.8865,23223,37.544746,-77.40085,Richmond,VA
199,19896.4,53132,42.896145,-88.00891,Franklin,WI
200,19743.58,80232,39.690387,-105.08866,Denver,CO
201,19713.146,75165,32.397024,-96.83283,Waxahachie,TX
202,19683.23,8052,39.952212,-74.99464,Maple Shade,NJ
203,19664.11,14225,42.929891,-78.75813,Buffalo,NY
204,19610.7975,48071,42.501385,-83.10474,Madison Heights,MI
205,19562.52,98273,48.414576,-122.35196,Mount Vernon,WA
206,19534.08,55337,44.770297,-93.27302,Burnsville,MN
207,19519.53,60901,41.114132,-87.86784,Kankakee,IL
208,19518.4525,60126,41.89103,-87.94181,Elmhurst,IL
209,19470.44,58554,46.812148,-100.90891,Mandan,ND
210,19447.39,98115,47.68382,-122.30122,Seattle,WA
211,19347.168,55305,44.953763,-93.43346,Hopkins,MN
212,19330.6325,94704,37.868575,-122.25855,Berkeley,CA
213,19299.17,38654,34.954106,-89.83743,Olive Branch,MS
214,19192.82,60478,41.561134,-87.72398,Country Club Hills,IL
215,19189.6205,63119,38.590652,-90.35168,Saint Louis,MO
216,19114.6975,85737,32.417144,-110.96354,Tucson,AZ
217,19071.6,46032,39.970241,-86.15416,Carmel,IN
218,18911.328,42003,37.044233,-88.59046,Paducah,KY
219,18821.86,91745,34.000578,-117.96943,Hacienda Heights,CA
220,18780.39,54915,44.244753,-88.37783,Appleton,WI
221,18675.3015,53094,43.170606,-88.73058,Watertown,WI
222,18661.68,92691,33.611272,-117.66681,Mission Viejo,CA
223,18656.6185,60139,41.920228,-88.07891,Glendale Heights,IL
224,18649.29,90069,34.090975,-118.3813,West Hollywood,CA
225,18605.9675,5451,44.50835,-73.050271,Essex,VT
226,18594.1,60131,41.93548,-87.87468,Franklin Park,IL
227,18593.8075,35211,33.479306,-86.85878,Birmingham,AL
228,18589.3855,84660,40.10637,-111.65408,Spanish Fork,UT
229,18410.17,39701,33.492107,-88.43746,Columbus,MS
230,18348.95,89115,36.233655,-115.06881,Las Vegas,NV
231,18202.4355,59102,45.778852,-108.5742,Billings,MT
232,18174.3975,49201,42.252268,-84.38842,Jackson,MI
233,18164.7655,97526,42.4631,-123.33162,Grants Pass,OR
234,18093.821,75104,32.588536,-96.94949,Cedar Hill,TX
235,18041.219,16148,41.232543,-80.45797,Hermitage,PA
236,18002.017,37087,36.240331,-86.29271,Lebanon,TN
237,17777.353,92653,33.602823,-117.71295,Laguna Hills,CA
238,17761.276,78155,29.56478,-97.96283,Seguin,TX
239,17634.987,92672,33.427078,-117.61401,San Clemente,CA
240,17543.92,48146,42.243488,-83.18097,Lincoln Park,MI
241,17528.94,85345,33.573602,-112.23984,Peoria,AZ
242,17514.7815,95020,37.016943,-121.56581,Gilroy,CA
243,17506.39,95616,38.549256,-121.73655,Davis,CA
244,17451.6755,60516,41.761463,-88.01334,Downers Grove,IL
245,17425.15,61554,40.567088,-89.63382,Pekin,IL
246,17375.98,60076,42.03618,-87.7321,Skokie,IL
247,17301.0605,48310,42.563644,-83.07158,Sterling Heights,MI
248,17231.223,37814,36.225565,-83.30799,Morristown,TN
249,17217.568,82716,44.356533,-105.52661,Gillette,WY
250,17217.176,26501,39.628475,-79.98796,Morgantown,WV
251,17209.9375,28307,35.142321,-79.01225,Fort Bragg,NC
252,17166.2,57201,44.916657,-97.11346,Watertown,SD
253,17100.0005,21220,39.337798,-76.41533,Middle River,MD
254,17060.998,48708,43.583323,-83.87869,Bay City,MI
255,17041.0795,33566,28.013755,-82.11685,Plant City,FL
256,17034.98,63116,38.580552,-90.26307,Saint Louis,MO
257,17002.38,44646,40.805131,-81.50101,Massillon,OH
258,16998.356,11542,40.864757,-73.62609,Glen Cove,NY
259,16975.6,92646,33.666269,-117.9693,Huntington Beach,CA
260,16924.246,83686,43.529812,-116.57761,Nampa,ID
261,16876.94,46324,41.583535,-87.50391,Hammond,IN
262,16847.54,34287,27.051075,-82.24417,North Port,FL
263,16814.73,98632,46.156082,-122.98043,Longview,WA
264,16807.477,76021,32.851678,-97.13849,Bedford,TX
265,16795.1555,80033,39.774341,-105.10036,Wheat Ridge,CO
266,16676.889,44106,41.507751,-81.60883,Cleveland,OH
267,16664.61,97504,42.334496,-122.83547,Medford,OR
268,16600.72,66062,38.860511,-94.77581,Olathe,KS
269,16589.47,27534,35.377069,-77.92463,Goldsboro,NC
270,16580.68,27801,35.935125,-77.77076,Rocky Mount,NC
271,16572.4,95687,38.34401,-121.95333,Vacaville,CA
272,16501.12,34639,28.233671,-82.45463,Land O Lakes,FL
273,16480.443,49423,42.765918,-86.10544,Holland,MI
274,16472.513,46544,41.650672,-86.16002,Mishawaka,IN
275,16387.898,94070,37.499175,-122.26655,San Carlos,CA
276,16363.463,78596,26.162609,-97.98512,Weslaco,TX
277,16293.152,11967,40.794317,-72.87181,Shirley,NY
278,16223.77,7644,40.877999,-74.08265,Lodi,NJ
279,16165.9415,60174,41.919808,-88.30498,Saint Charles,IL
280,16094.2,32808,28.576028,-81.44369,Orlando,FL
281,16088.3825,55124,44.743963,-93.20624,Saint Paul,MN
282,16084.43,20832,39.155449,-77.07487,Olney,MD
283,16051.8675,45385,39.682836,-83.92144,Xenia,OH
284,16031.1155,84604,40.280454,-111.6491,Provo,UT
285,16021.57,20877,39.13975,-77.18568,Gaithersburg,MD
286,15983.1175,57006,44.305418,-96.7906,Brookings,SD
287,15773.46,67501,38.034292,-97.92382,Hutchinson,KS
288,15740.07,10573,41.010376,-73.67326,Port Chester,NY
289,15711.2305,29915,32.156011,-80.787899,Daufuskie Island,SC
290,15707.09,30721,34.780699,-84.93994,Dalton,GA
291,15702.79,11550,40.702271,-73.61741,Hempstead,NY
292,15689.7775,80525,40.532354,-105.0535,Fort Collins,CO
293,15670.3,53095,43.40328,-88.18026,West Bend,WI
294,15670.27,22304,38.813013,-77.11667,Alexandria,VA
295,15656.75,33404,26.782114,-80.06528,West Palm Beach,FL
296,15578.12,75503,33.476844,-94.09637,Texarkana,TX
297,15558.3405,95351,37.626067,-120.99955,Modesto,CA
298,15524.1575,82604,42.791242,-106.53986,Casper,WY
299,15469.506,78363,27.496472,-97.86808,Kingsville,TX
300,15464.01,2806,41.746834,-71.32031,Barrington,RI
301,15432.2035,4240,44.094773,-70.19141,Lewiston,ME
302,15415.6465,3801,43.070188,-70.77684,Portsmouth,NH
303,15395.63,23666,37.050946,-76.40711,Hampton,VA
304,15379.05,53209,43.11941,-87.94727,Milwaukee,WI
305,15368.8935,64133,39.013905,-94.4591,Kansas City,MO
306,15364.0195,76053,32.821378,-97.181,Hurst,TX
307,15303.66,46203,39.742593,-86.11766,Indianapolis,IN
308,15249.4,45406,39.784108,-84.23841,Dayton,OH
309,15234.342,60193,42.01299,-88.09675,Schaumburg,IL
310,15144.3,37830,35.992691,-84.27044,Oak Ridge,TN
311,14963.53,78613,30.501272,-97.83087,Cedar Park,TX
312,14941.9005,34239,27.310924,-82.5213,Sarasota,FL
313,14940.5735,33311,26.13883,-80.16865,Fort Lauderdale,FL
314,14928.01,84117,40.662797,-111.83797,Salt Lake City,UT
315,14878.572,46321,41.551457,-87.50143,Munster,IN
316,14876.08,32004,29.937673,-81.420603,Ponte Vedra Beach,FL
317,14840.5145,47274,38.958688,-85.89917,Seymour,IN
318,14825.84,45801,40.759451,-84.08458,Lima,OH
319,14758.92,94601,37.776835,-122.21792,Oakland,CA
320,14743.8085,68502,40.789051,-96.69589,Lincoln,NE
321,14715.74,11704,40.719249,-73.35829,West Babylon,NY
322,14654.04,49534,#N/A,#N/A,#N/A,#N/A
323,14617.486,37066,36.388997,-86.4548,Gallatin,TN
324,14579.99,7201,40.669502,-74.19889,Elizabeth,NJ
325,14554.03,74801,35.327341,-96.93544,Shawnee,OK
326,14548.71,78041,27.542244,-99.49233,Laredo,TX
327,14537.299,76028,32.535841,-97.30681,Burleson,TX
328,14534.94,5403,44.451941,-73.17941,South Burlington,VT
329,14514.1,91776,34.089059,-118.0951,San Gabriel,CA
330,14470.68,75701,32.325214,-95.29467,Tyler,TX
331,14449.716,92253,33.675373,-116.29649,La Quinta,CA
332,14427.784,29611,34.840717,-82.44234,Greenville,SC
333,14407.782,42071,36.617443,-88.28746,Murray,KY
334,14399.251,4210,44.089173,-70.24143,Auburn,ME
335,14381.51,60543,41.684896,-88.34177,Oswego,IL
336,14301.5755,61604,40.709237,-89.63633,Peoria,IL
337,14277.3395,75482,33.143752,-95.60102,Sulphur Springs,TX
338,14234.608,7039,40.788733,-74.32134,Livingston,NJ
339,14128.6645,33012,25.864773,-80.30069,Hialeah,FL
340,14120.2775,42301,37.753347,-87.17419,Owensboro,KY
341,14107.522,85224,33.328951,-111.8735,Chandler,AZ
342,14104.9925,75007,33.00542,-96.89773,Carrollton,TX
343,14102.7835,35630,34.817537,-87.66253,Florence,AL
344,14101.814,24060,37.232027,-80.42127,Blacksburg,VA
345,14083.927,61008,42.257229,-88.84755,Belvidere,IL
346,14060.1565,83704,43.63123,-116.28716,Boise,ID
347,14057.68,32771,28.803979,-81.28761,Sanford,FL
348,14031.15,91911,32.608799,-117.0607,Chula Vista,CA
349,13862.4395,37918,36.046598,-83.92511,Knoxville,TN
350,13861.334,98034,47.71828,-122.19702,Kirkland,WA
351,13851.9815,67212,37.700632,-97.4343,Wichita,KS
352,13841.11,60090,42.131526,-87.92958,Wheeling,IL
353,13835.43,27360,35.871,-80.08603,Thomasville,NC
354,13766.76,22015,38.788646,-77.27888,Burke,VA
355,13754.92,92804,33.818165,-117.97304,Anaheim,CA
356,13727.02,29406,32.918757,-80.0228,Charleston,SC
357,13723.873,32137,29.581683,-81.21645,Palm Coast,FL
358,13642.3605,30080,33.87578,-84.50382,Smyrna,GA
359,13642.25,11746,40.821698,-73.37553,Huntington Station,NY
360,13637.502,3820,43.190984,-70.88787,Dover,NH
361,13609.72,7050,40.7683,-74.23603,Orange,NJ
362,13584.82,25314,38.335969,-81.66084,Charleston,WV
363,13530.1,4106,43.631549,-70.27272,South Portland,ME
364,13524.06,15241,40.329619,-80.07364,Pittsburgh,PA
365,13496.9495,33065,26.272608,-80.25589,Pompano Beach,FL
366,13483.81,76067,32.810275,-98.10707,Mineral Wells,TX
367,13479.36,37211,36.079259,-86.72584,Nashville,TN
368,13436.88,79605,32.432975,-99.77096,Abilene,TX
369,13391.3335,21234,39.385006,-76.54177,Parkville,MD
370,13385.89,32905,28.031689,-80.60014,Palm Bay,FL
371,13376.02,92236,33.679872,-116.17656,Coachella,CA
372,13350.5565,60185,41.891978,-88.20502,West Chicago,IL
373,13344.9345,29662,34.774657,-82.30432,Mauldin,SC
374,13279.3,44483,41.252748,-80.80773,Warren,OH
375,13186.3395,69101,41.129363,-100.77502,North Platte,NE
376,13182.5565,61761,40.515485,-88.98629,Normal,IL
377,13167.8495,72015,34.564734,-92.59562,Benton,AR
378,13159.28,10801,40.915845,-73.78643,New Rochelle,NY
379,13154.69,40422,37.644426,-84.78862,Danville,KY
380,13150.45,78589,26.190444,-98.15301,San Juan,TX
381,13139.454,60441,41.598235,-88.02753,Lockport,IL
382,13123.13,44112,41.534101,-81.57558,Cleveland,OH
383,13089.7035,11741,40.799706,-73.07485,Holbrook,NY
384,13074.3785,84043,40.366648,-111.89052,Lehi,UT
385,13068.17,13440,43.217069,-75.45531,Rome,NY
386,13040.85,97303,44.984008,-123.01992,Salem,OR
387,13035.79,80004,39.81431,-105.12263,Arvada,CO
388,13033.29,66104,39.137003,-94.67203,Kansas City,KS
389,12976.4,55416,44.946664,-93.34215,Minneapolis,MN
390,12895.7375,80817,38.674013,-104.69627,Fountain,CO
391,12818.2,81007,38.333601,-104.74329,Pueblo,CO
392,12809.505,44125,41.414403,-81.60793,Cleveland,OH
393,12766.757,92627,33.647028,-117.91506,Costa Mesa,CA
394,12757.33,26003,40.071472,-80.6868,Wheeling,WV
395,12755.8635,62521,39.828586,-88.92907,Decatur,IL
396,12746.11,98023,47.309021,-122.36178,Federal Way,WA
397,12737.144,43050,40.385636,-82.48254,Mount Vernon,OH
398,12736.72,78852,28.716242,-100.48058,Eagle Pass,TX
399,12721.84,14701,42.09179,-79.24459,Jamestown,NY
400,12663.1185,99336,46.210957,-119.16369,Kennewick,WA
401,12640.12,88240,32.70778,-103.16616,Hobbs,NM
402,12609.4065,77536,29.687657,-95.1201,Deer Park,TX
403,12601.98,34982,27.393097,-80.3279,Fort Pierce,FL
404,12569.31,2169,42.250739,-70.99593,Quincy,MA
405,12560.34,3038,42.886486,-71.30019,Derry,NH
406,12555.9205,99207,47.693741,-117.38829,Spokane,WA
407,12546.9375,82070,41.232815,-105.75364,Laramie,WY
408,12545.4265,46312,41.639735,-87.46084,East Chicago,IN
409,12541.38,60062,42.124576,-87.84303,Northbrook,IL
410,12507.96,65807,37.168435,-93.31297,Springfield,MO
411,12461.28,76017,32.659277,-97.16435,Arlington,TX
412,12450.51,76063,32.57701,-97.13485,Mansfield,TX
413,12422.54,33881,28.051985,-81.72457,Winter Haven,FL
414,12414.826,66209,38.900535,-94.63248,Shawnee Mission,KS
415,12381.287,74055,36.278298,-95.8305,Owasso,OK
416,12357.26,76706,31.514267,-97.11807,Waco,TX
417,12337.04,46360,41.707539,-86.87902,Michigan City,IN
418,12331.05,61032,42.300918,-89.63208,Freeport,IL
419,12319.37,10562,41.176837,-73.84741,Ossining,NY
420,12297.12,33030,25.479438,-80.48687,Homestead,FL
421,12283.51,31088,32.594698,-83.64873,Warner Robins,GA
422,12230.11,19090,40.145859,-75.1216,Willow Grove,PA
423,12225.72,2127,42.33499,-71.04562,Boston,MA
424,12214.2,80501,40.171484,-105.10033,Longmont,CO
425,12202.15,53545,42.69146,-89.04277,Janesville,WI
426,12177.494,52501,41.023872,-92.41741,Ottumwa,IA
427,12154.5795,46410,41.487369,-87.34024,Merrillville,IN
428,12138.785,92262,33.842984,-116.54344,Palm Springs,CA
429,12098.87,6074,41.836665,-72.56076,South Windsor,CT
430,12095.45,77642,29.921564,-93.92694,Port Arthur,TX
431,12092.298,43015,40.295925,-83.06968,Delaware,OH
432,11967.4925,30458,32.423083,-81.80677,Statesboro,GA
433,11966.44,48034,42.474234,-83.29078,Southfield,MI
434,11959.3,21113,39.079902,-76.70867,Odenton,MD
435,11953.812,1550,42.070827,-72.03533,Southbridge,MA
436,11905.33,57401,45.46932,-98.49646,Aberdeen,SD
437,11876.396,27405,36.107499,-79.75242,Greensboro,NC
438,11835.94,84020,40.514843,-111.87294,Draper,UT
439,11783.85,70072,29.869283,-90.10933,Marrero,LA
440,11739.68,98221,48.495234,-122.61976,Anacortes,WA
441,11701.18,90210,34.088808,-118.40612,Beverly Hills,CA
442,11680.32,62040,38.720938,-90.11431,Granite City,IL
443,11679.09,73034,35.683768,-97.44686,Edmond,OK
444,11670.7705,85281,33.426885,-111.92733,Tempe,AZ
445,11668.78,95610,38.696912,-121.27125,Citrus Heights,CA
446,11658.89,36116,32.31324,-86.23672,Montgomery,AL
447,11618.5,84010,40.876312,-111.87249,Bountiful,UT
448,11613.623,6108,41.778316,-72.62313,East Hartford,CT
449,11558.6075,95746,38.743811,-121.19013,Granite Bay,CA
450,11534.187,23320,36.761698,-76.24511,Chesapeake,VA
451,11533.22,32114,29.204009,-81.03602,Daytona Beach,FL
452,11532.055,7601,40.888678,-74.0488,Hackensack,NJ
453,11490.832,46901,40.501576,-86.14677,Kokomo,IN
454,11471.39,11803,40.779911,-73.47948,Plainview,NY
455,11470.334,95032,37.241193,-121.9534,Los Gatos,CA
456,11440.752,45424,39.840308,-84.12227,Dayton,OH
457,11437.99,67114,38.051679,-97.323,Newton,KS
458,11436.237,4038,43.697118,-70.46301,Gorham,ME
459,11423.39,11520,40.653935,-73.587,Freeport,NY
460,11423.02,46383,41.47339,-87.03165,Valparaiso,IN
461,11411.779,87124,35.290647,-106.71469,Rio Rancho,NM
462,11411.0845,36330,31.32579,-85.84117,Enterprise,AL
463,11392.686,98208,47.893451,-122.19797,Everett,WA
464,11386.6635,85705,32.260316,-110.98534,Tucson,AZ
